zipcode,dbh_mean,curb_ratio,sidewalk_ratio,species_1,species_2,species_3,tree_count,Good,Fair,Poor,issuing_agency_1,issuing_agency_2,issuing_agency_3,penalty_imposed,charge_1,charge_2,charge_3,crime_count,cluster
83,16.505364806866954,1.273170731707317,3.2171945701357467,0.0,13.0,10.0,932,885,39,8,12.0,14.0,18.0,35.0,88.0,99.0,97.0,5,0
10001,7.365882352941177,46.22222222222222,4.629139072847682,7.0,2.0,3.0,850,719,100,31,4.0,22.0,16.0,866.6595289079229,72.0,4.0,31.0,9204,2
10002,8.459221501390177,5.255072463768116,4.678947368421053,3.0,10.0,10.0,2158,1656,387,115,4.0,18.0,22.0,884.1601371204702,28.0,111.0,3.0,9308,2
10003,9.077200205867216,91.52380952380952,2.67296786389414,7.0,2.0,10.0,1943,1480,361,102,4.0,18.0,16.0,849.6038426349497,28.0,4.0,42.0,12235,2
10004,6.6581196581196584,3.1785714285714284,28.25,7.0,8.0,3.0,117,97,17,3,4.0,13.0,3.0,844.5434543454345,87.0,31.0,3.0,2064,2
10005,6.138461538461539,2.611111111111111,25.0,8.0,10.0,2.0,130,59,57,14,4.0,13.0,3.0,903.607188703466,3.0,133.0,102.0,946,2
10006,6.375,47.0,2.4285714285714284,7.0,4.0,10.0,48,42,6,0,4.0,13.0,6.0,1064.1414752116082,39.0,4.0,1.0,968,2
10007,6.284023668639053,10.655172413793103,16.789473684210527,7.0,2.0,10.0,338,274,49,15,4.0,13.0,22.0,885.9337506520606,3.0,113.0,42.0,2252,2
10009,8.312837108953614,8.914438502673796,6.158301158301159,7.0,2.0,4.0,1854,1458,307,89,4.0,18.0,15.0,812.3153676932747,28.0,111.0,3.0,6875,2
10010,8.482758620689655,5.950413223140496,4.964539007092198,7.0,2.0,10.0,841,707,102,32,4.0,13.0,21.0,976.6922350719849,28.0,4.0,42.0,4845,2
10011,8.815196078431372,33.57627118644068,4.217391304347826,7.0,2.0,10.0,2040,1769,195,76,4.0,13.0,21.0,876.1733671375106,3.0,31.0,42.0,9450,2
10012,8.432038834951456,16.45762711864407,3.2738589211618256,7.0,2.0,8.0,1030,725,238,67,4.0,18.0,16.0,797.1787619201551,101.0,4.0,31.0,7004,2
10013,6.782685512367491,6.447368421052632,7.028368794326241,7.0,3.0,2.0,1132,768,274,90,4.0,13.0,21.0,900.8756271146891,3.0,31.0,42.0,9656,2
